start,end,duration,comment,persistent
1828.40816,1828.94427,0.53611,Unknown (most likely ground-processing issue),FALSE
1829.07899,1829.11788,0.03889,Unknown (most likely ground-processing issue),FALSE
1849.1276,1849.14982,0.02222,VPU software update,FALSE
1873.78798,1873.78914,0.00116,Micro-meteoroid hit,TRUE
1886.08493,1886.08632,0.00139,Micro-meteoroid hit,TRUE
1889.5852,1889.58891,0.0037,Micro-meteoroid hit,TRUE
1907.71232,1910.51927,2.80694,Unknown (most likely ground-processing issue),FALSE
1910.55399,1910.56232,0.00833,Unknown (most likely ground-processing issue),FALSE
1919.01927,1919.12482,0.10556,VPU-5 anomaly,FALSE
1943.45437,1943.55399,0.09962,VPU-4 anomaly,TRUE
1945.16788,1945.17482,0.00694,Unknown (most likely ground-processing issue),FALSE
1951.33969,1951.5996,0.25991,VPU-5 anomaly,TRUE
1958.01093,1958.03315,0.02222,Unknown (most likely ground-processing issue),FALSE
1962.37065,1962.47899,0.10833,VPU-5 anomaly,FALSE
1980.91232,1980.91788,0.00556,Malargue data loss,FALSE
1995.1901,1995.19704,0.00694,New Norcia data loss,FALSE
2021.30423,2021.30747,0.00324,Micro-meteoroid hit,TRUE
2045.43871,2045.44426,0.00556,Unknown (most likely ground-processing issue),FALSE
2066.76363,2066.76571,0.00208,Micro-meteoroid hit,TRUE
2094.0026,2095.56926,1.56667,Payload data handling unit anomaly,TRUE
2099.22343,2099.41371,0.19028,Station-keeping manoeuvre #16,FALSE
2103.5989,2103.71316,0.11426,VPU software update,TRUE
2111.2401,2111.48454,0.24444,Chemical-propulsion sub-system operations,FALSE
2123.19122,2123.19353,0.00232,Micro-meteoroid hit,TRUE
2124.79148,2124.79982,0.00833,Unknown (most likely ground-processing issue),FALSE
2129.73066,2129.73363,0.00296,Micro-meteoroid hit,TRUE
2139.41648,2139.53593,0.11944,VPU-4 anomaly,FALSE
2139.57621,2139.60537,0.02917,Unknown (most likely ground-processing issue),FALSE
2142.28871,2142.39565,0.10694,VPU-7 anomaly,FALSE
2147.97204,2147.99565,0.02361,Unknown (most likely ground-processing issue),FALSE
2150.43037,2150.5401,0.10972,VPU-4 anomaly,FALSE
2154.11798,2154.22529,0.10731,VPU-7 anomaly,TRUE
2165.16093,2165.18315,0.02222,Malargue data loss,FALSE
2172.83454,2173.07065,0.23611,Unknown (most likely ground-processing issue),FALSE
2178.24377,2178.26738,0.02361,AOCS loss of convergence,TRUE
2179.125,2191,11.875,VPU software update plus commissioning,TRUE
2192.25121,2195.21787,2.96667,Payload data handling unit anomaly,FALSE
2210.76571,2210.76826,0.00255,Micro-meteoroid hit,TRUE
2228.40529,2228.40645,0.00116,Micro-meteoroid hit,TRUE
2233.85121,2233.92065,0.06944,VPU software test,FALSE
2233.93732,2234.02065,0.08333,VPU software test,FALSE
2235.59982,2235.62065,0.02083,VPU software test,FALSE
2235.65815,2235.85259,0.19444,VPU software test,FALSE
2246.64843,2246.84148,0.19306,Station-keeping manoeuvre #17,FALSE
2266.61232,2266.62621,0.01389,Payload data handling unit update,FALSE
2278.93756,2278.93918,0.00162,Micro-meteoroid hit,TRUE
2286.14918,2286.15034,0.00116,Micro-meteoroid hit,TRUE
2299.1327,2299.13617,0.00347,Micro-meteoroid hit,TRUE
2305.46307,2305.47441,0.01134,Micro-meteoroid hit,TRUE
2324.9,2401.55883,76.65883,Decontamination,TRUE
2405.96648,2408.64287,2.67639,Malargue communication delay,FALSE
2408.93593,2409.96787,1.03194,VPU-6 anomaly,FALSE
2452.0133,2452.01469,0.00139,Micro-meteoroid hit,TRUE
2462.89219,2462.89751,0.00533,Micro-meteoroid hit,TRUE
2472.23176,2472.36787,0.13611,Unknown (most likely ground-processing issue),FALSE
2485.67608,2485.67746,0.00139,Micro-meteoroid hit,TRUE
2496.18121,2496.18307,0.00185,Micro-meteoroid hit,TRUE
2499.49287,2499.68176,0.18889,Station-keeping manoeuvre #18,FALSE
2499.92065,2499.94565,0.025,Unknown (most likely ground-processing issue),FALSE
2524.47898,2533.91926,9.44028,Decompression software bug,FALSE
2558.37203,2558.37898,0.00694,New Norcia data loss,FALSE
2559.06092,2559.07203,0.01111,Unknown (most likely ground-processing issue),FALSE
2568.04246,2568.04617,0.0037,Micro-meteoroid hit,TRUE
2570.48682,2570.48797,0.00116,Micro-meteoroid hit,TRUE
2574.64,2576.30815,1.66815,Refocus,TRUE
2576.33315,2576.54426,0.21111,Refocus,FALSE
2583.93037,2584.2637,0.33333,Unknown (most likely ground-processing issue),FALSE
2592.2637,2592.2762,0.0125,Malargue data loss,FALSE
2592.29703,2592.36509,0.06806,Malargue data loss,FALSE
2632.04061,2632.0457,0.00509,Micro-meteoroid hit,TRUE
2640.50543,2640.55214,0.04671,Malargue data loss,TRUE
2641.60255,2641.60552,0.00296,Micro-meteoroid hit,TRUE
2644.79816,2644.80302,0.00486,Micro-meteoroid hit,TRUE
2651.92898,2651.98731,0.05833,Unknown (most likely ground-processing issue),FALSE
2671.7351,2671.73626,0.00116,Micro-meteoroid hit,TRUE
2675.78575,2675.79038,0.00463,Micro-meteoroid hit,TRUE
2676.90302,2676.90626,0.00324,Micro-meteoroid hit,TRUE
2751.3387,2751.60398,0.26528,Station-keeping manoeuvre #19,FALSE
2760.36566,2760.37075,0.00509,Micro-meteoroid hit,TRUE
2782.52978,2782.53741,0.00764,Micro-meteoroid hit,TRUE
2783.01092,2783.01786,0.00694,Unknown (most likely ground-processing issue),FALSE
2810.80269,2810.80431,0.00162,Micro-meteoroid hit,TRUE
2866.17885,2866.18371,0.00486,Micro-meteoroid hit,TRUE
2881.16172,2881.16311,0.00139,Micro-meteoroid hit,TRUE
2897.50038,2897.50153,0.00116,Micro-meteoroid hit,TRUE
2922.02758,2922.69564,0.66806,Star-tracker anomaly,FALSE
2922.75675,2923.40397,0.64722,Star-tracker anomaly,FALSE
2923.72203,2923.99425,0.27222,Star-tracker anomaly,FALSE
2924.29286,2924.42897,0.13611,Star-tracker anomaly,FALSE
2958.92954,2958.93371,0.00417,Micro-meteoroid hit,TRUE
2959.09621,2959.09806,0.00185,Micro-meteoroid hit,TRUE
2966.44945,2966.45107,0.00162,Micro-meteoroid hit,TRUE
2978.40153,2978.40315,0.00162,Micro-meteoroid hit,TRUE
2981.82537,2981.82699,0.00162,Micro-meteoroid hit,TRUE
2995.32584,2995.32723,0.00139,Micro-meteoroid hit,TRUE
3005.97746,3005.98371,0.00625,Micro-meteoroid hit,TRUE
3045.10814,3048.18453,3.07639,Payload data handling unit anomaly,FALSE
3074.48718,3074.4888,0.00162,Micro-meteoroid hit,TRUE
3087.79528,3087.7969,0.00162,Micro-meteoroid hit,TRUE
3109.04389,3109.04482,0.00093,Micro-meteoroid hit,TRUE
3142.87398,3142.87884,0.00486,Micro-meteoroid hit,TRUE
3161.79088,3161.7969,0.00602,Micro-meteoroid hit,TRUE
3164.67758,3164.69008,0.0125,Unknown (most likely ground-processing issue),FALSE
3193.46032,3193.46495,0.00463,Micro-meteoroid hit,TRUE
3205.1373,3205.1873,0.05,Malargue data loss,FALSE
3218.94296,3218.94435,0.00139,Micro-meteoroid hit,TRUE
3234.35292,3234.35731,0.0044,Micro-meteoroid hit,TRUE
3238.19273,3238.19389,0.00116,Micro-meteoroid hit,TRUE
3239.56403,3239.56542,0.00139,Micro-meteoroid hit,TRUE
3243.89875,3243.90037,0.00162,Micro-meteoroid hit,TRUE
3254.0873,3254.2873,0.2,Station-keeping manoeuvre #20,FALSE
3269.45536,3269.48314,0.02778,Unknown (most likely ground-processing issue),FALSE
3271.50397,3271.53591,0.03194,New Norcia data loss,FALSE
3280.47305,3280.47398,0.00093,Micro-meteoroid hit,TRUE
3284.67202,3284.6873,0.01528,Unknown (most likely ground-processing issue),FALSE
